id,project,condition,classification,lizard_avg_ccn,lizard_max_ccn,lizard_avg_nloc,lizard_total_nloc,lizard_fn_count,lizard_high_ccn_count,test_nloc,test_code_ratio,executable_passed,executable_total,executable_score,mutation_score
P045-vaquita,vaquita,A,analyzable,1.5,8,6.98,817,117,0,322,0.394,9,10,3,
P045-taskflow,taskflow,A,analyzable,1.45,9,5.95,434,73,0,43,0.099,8,10,3,
P047-vaquita,vaquita,A,analyzable,1.77,11,13.75,1801,131,1,719,0.399,5,10,2,
P048-vaquita,vaquita,B,analyzable,1.68,7,5.61,449,80,0,0,0,3,10,1,
P048-taskflow,taskflow,A,analyzable,1.2,5,6.2,955,154,0,652,0.683,7,10,2,
P049-vaquita,vaquita,A,analyzable,2.15,8,10.57,962,91,0,0,0,10,10,3,
P049-taskflow,taskflow,B,analyzable,1.36,7,6.82,382,56,0,175,0.458,8,10,3,
P050-vaquita,vaquita,B,analyzable,1.68,8,9.33,1232,132,0,434,0.352,0,10,0,
P050-taskflow,taskflow,A,analyzable,1.82,7,9.64,270,28,0,187,0.693,8,10,3,
P053-vaquita,vaquita,A,analyzable,0,0,0,0,0,0,0,0,0,10,0,
P054-vaquita,vaquita,B,analyzable,1.48,11,6.94,951,137,1,422,0.444,4,10,2,
P054-taskflow,taskflow,A,analyzable,1.15,7,6.73,956,142,0,833,0.871,7,10,2,
P055-vaquita,vaquita,A,analyzable,1.62,6,10.35,1345,130,0,427,0.317,5,10,2,
P057-vaquita,vaquita,A,analyzable,1.28,7,7.95,2354,296,0,1206,0.512,5,10,2,
P058-taskflow,taskflow,B,analyzable,0,0,0,0,0,0,0,0,0,10,0,
